model,mean_field_rmse,median_field_rmse,p95_field_rmse,mean_field_mae,mean_coefficient_rmse
ExtraTrees,0.08965177051801715,0.09323980638794624,0.13863637365314666,0.02797926372887295,0.46714096069438915
KNN,0.09120145131125826,0.09493203492858526,0.13780969894567754,0.028639526512927047,0.4837681364322655
