mode_count,cumulative_explained_variance
1,0.2646517356104114
2,0.37939127526355687
3,0.4551310651052807
4,0.4972112798085615
5,0.530971863149994
6,0.5559906985671541
7,0.5789246901213306
8,0.5974766186390111
9,0.613949307960462
10,0.6283523720353013
11,0.6420074909336319
12,0.6544814392343231
13,0.6654609530326832
14,0.6750002050945839
15,0.6835706269309036
16,0.6918638497508199
17,0.6997325835801251
18,0.7070683212224023
19,0.7139765607620802
20,0.7206021172587646
21,0.7270844884241318
22,0.7329977986188465
23,0.7386542670564268
24,0.7439230767366091
25,0.7491114168758937
26,0.7542564216552271
27,0.7591938285025936
28,0.7639638014794862
29,0.7685985643847174
30,0.7731675756256507
31,0.7775530136826089
32,0.781657555053917
33,0.7856304322882341
34,0.7892360994266867
35,0.7928125400458409
36,0.796238183678892
37,0.7995413766484806
38,0.802739189392837
39,0.8058245328567079
40,0.8087926007207645
41,0.8116880388396439
42,0.8145050892233359
43,0.8171317488231694
44,0.8196727405241573
45,0.8221874957758517
46,0.8245734861117199
47,0.8268184743058764
48,0.8289796317002467
49,0.8311216108245079
50,0.8331882606256131
51,0.83519118927556
52,0.8371438814173249
53,0.8390517073205659
54,0.8409207286829136
55,0.8427614567328686
56,0.8445599321803368
57,0.8463488432159872
58,0.8480658555201088
59,0.8497327274757079
60,0.8513381915203116
61,0.8528986920923027
62,0.8544382884250004
63,0.8559312483754147
64,0.8573940491218622
65,0.8588055521748799
66,0.8601938885668675
67,0.8615649764328626
68,0.8629192408856563
69,0.864242367295284
70,0.8655514783701409
71,0.8668182838592423
72,0.8680594875333232
73,0.8692794383586548
74,0.8704555908534445
75,0.8716105423853516
76,0.8727240337646534
77,0.873819392005438
78,0.8748981463611547
79,0.8759543638129902
80,0.8769905878513581
81,0.878007050164492
82,0.8790039628806402
83,0.8799886416601067
84,0.8809567063664532
85,0.881914108866223
86,0.882856175362341
87,0.8837729586800239
88,0.8846816693807703
89,0.8855558062645413
90,0.8864255085101582
91,0.8872776749642407
92,0.8881256515821542
93,0.8889685559425543
94,0.8897940125177305
95,0.8906017128213887
96,0.8913938403175462
97,0.8921834055042311
98,0.8929493776451815
99,0.8937087728476825
100,0.8944542043015085
101,0.8951881499433522
102,0.8959202550486567
103,0.8966508312246462
104,0.8973562024585757
105,0.8980494262825587
106,0.8987290631095795
107,0.8993986141744174
108,0.9000588678282543
109,0.9007133921763149
110,0.9013525994224958
111,0.9019880509811344
112,0.9026105833332961
113,0.9032213635363908
114,0.9038269965791765
115,0.9044227124009709
116,0.9050107592459709
117,0.9055880999474074
118,0.906160862170885
119,0.9067295580383813
120,0.9072836159830714
121,0.9078283783061819
122,0.9083690614806921
123,0.9089057694589817
124,0.9094341260998497
125,0.9099570991002468
126,0.9104745835067518
127,0.9109849919781275
128,0.9114884968027906
129,0.9119892884734211
130,0.9124844558502804
131,0.9129752902166479
132,0.9134526115134041
133,0.9139256934106469
134,0.9143958455132001
135,0.9148593021917238
136,0.9153202707145417
137,0.9157717909774599
138,0.9162197556426822
139,0.9166625231311273
140,0.9171011918795517
141,0.9175363663380479
142,0.9179681288153985
143,0.9183922828450064
144,0.9188069440083297
145,0.9192200792275887
146,0.9196330375221494
147,0.9200393124419517
148,0.9204361423049201
149,0.9208296636459798
150,0.9212162797799867
151,0.9215992545459929
152,0.9219767577180715
153,0.9223536013737342
154,0.922722250972582
155,0.9230890935283368
156,0.923450111605013
157,0.9238080720396469
158,0.9241650605766142
159,0.924512900692926
160,0.9248589068142995
161,0.9252027961164767
162,0.9255441803345155
163,0.9258759036319698
164,0.9262057004188331
165,0.9265322587775268
166,0.9268537236810102
167,0.9271719307850613
168,0.9274878008822656
169,0.9278000779906964
170,0.9281074807654742
171,0.9284122505761097
172,0.9287151047187525
173,0.9290146761940775
174,0.929311243273847
175,0.9296030166002932
176,0.9298915973564192
177,0.9301768058328351
178,0.930460724889232
179,0.9307380369947281
180,0.9310121080373484
181,0.9312841258257003
182,0.9315551002747388
183,0.9318219531498121
184,0.932082749954081
185,0.9323420722830984
186,0.9325973937513918
187,0.9328498091208394
188,0.9330968725544314
189,0.9333407478262356
190,0.9335838563184933
191,0.933822450856035
192,0.9340582719729916
193,0.9342930743499186
194,0.9345245250722328
195,0.9347525509653749
196,0.9349759314723788
197,0.9351972176461611
198,0.9354155128745526
199,0.9356296840943815
200,0.9358371710090974
