case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water,area_average_p_rgh_percentile_90_Pa,area_average_p_rgh_percentile_95_Pa,area_average_p_rgh_percentile_99_Pa,area_average_p_rgh_top_0p01_mean_Pa,area_average_p_rgh_top_0p02_mean_Pa,area_average_p_rgh_top_0p05_mean_Pa,area_average_p_rgh_top_0p1_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_time_s,area_average_p_rgh_rolling_0p05s_peak_mean_Pa,area_average_p_rgh_rolling_0p05s_peak_time_s,area_average_p_rgh_rolling_0p1s_peak_mean_Pa,area_average_p_rgh_rolling_0p1s_peak_time_s,area_average_alpha_percentile_95,maximum_p_rgh_percentile_90_Pa,maximum_p_rgh_percentile_95_Pa,maximum_p_rgh_percentile_99_Pa,maximum_p_rgh_top_0p01_mean_Pa,maximum_p_rgh_top_0p02_mean_Pa,maximum_p_rgh_top_0p05_mean_Pa,maximum_p_rgh_top_0p1_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_time_s,maximum_p_rgh_rolling_0p05s_peak_mean_Pa,maximum_p_rgh_rolling_0p05s_peak_time_s,maximum_p_rgh_rolling_0p1s_peak_mean_Pa,maximum_p_rgh_rolling_0p1s_peak_time_s,maximum_alpha_percentile_95
surrGrid_H0240_obsH0036_x0292,training_grid,0.24,0.036,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1317.135,0.145,4397.162,0.135,0.9998853,0.77,1.0,0.135,0.13,0.285,1.37,1.215,905.0373924002489,1563.2060859774979,627.0707,727.4126,0.9705371,1.0,906.83125,1038.7814999999998,1207.3159499999997,1267.668,1222.8858333333333,1136.5519333333332,1054.1066166666667,1218.8881666666666,0.155,1118.6839454545452,0.165,977.2270476190483,0.685,0.9988425999999999,1910.7607000000005,2416.7426500000006,3753.7792099999974,4209.391666666666,3928.0911666666666,3339.3075333333327,2771.5683999999987,3928.0911666666666,0.15,3600.7397272727267,0.155,2976.1059047619037,0.18,1.0
surrGrid_H0240_obsH0036_x0320,training_grid,0.24,0.036,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3590.523,0.365,4608.783,0.365,0.9999952,0.945,1.0,0.15,0.145,0.455,1.355,1.045,914.4513947130004,1601.0470273925005,781.4063,975.2042,0.9926798,1.0,955.3180800000004,1037.1014499999999,1254.8014599999992,2107.6006666666667,1665.2623333333331,1327.4951999999998,1163.6316933333333,1250.0868333333333,0.17,1132.362863636364,0.175,1033.36219047619,0.715,0.9999568799999999,1918.2874000000006,2496.9722500000003,4151.456689999998,4508.672666666666,4257.586,3545.679666666666,2870.6942,4102.929166666667,0.16,3691.4043636363635,0.17,3018.061142857142,0.195,1.0
surrGrid_H0240_obsH0036_x0350,training_grid,0.24,0.036,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2073.131,0.365,4926.791,0.165,0.9999743,0.84,1.0,0.165,0.16,0.51,1.34,0.99,880.6027923744997,1559.430539775001,695.6301,929.5724,0.9557882,1.0,924.5267700000002,1088.2009500000001,1341.6748699999994,1630.1303333333333,1471.4691666666665,1299.6375333333335,1144.6284366666669,1257.3381666666667,0.185,1138.044890909091,0.19,1013.908323809524,0.73,0.9991777249999999,2160.0146000000004,2718.6569000000004,3972.5239999999967,4612.978,4232.110166666666,3499.1464,2961.5210999999995,4232.110166666666,0.175,3758.354090909091,0.185,3061.9689523809525,0.21,1.0
surrGrid_H0240_obsH0036_x0380,training_grid,0.24,0.036,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2463.669,0.365,5134.414,0.18,0.9999521,0.895,1.0,0.18,0.175,0.545,1.325,0.955,888.0206798932502,1575.6704869227501,672.3873,767.5222,0.9919834,1.0,890.5054100000001,1104.47965,1342.9481799999999,1758.727,1526.197666666667,1320.6898,1159.1291400000002,1273.707666666667,0.2,1148.8860909090906,0.75,1035.8838238095243,0.74,0.9989756599999999,2147.0273000000016,2888.35075,4294.761669999998,4786.493666666666,4382.3215,3630.149,3091.7500666666665,4382.3215,0.19,3831.004545454545,0.2,3100.1064761904768,0.225,1.0
surrGrid_H0240_obsH0042_x0220,training_grid,0.24,0.042,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3034.951,0.32,4546.403,0.32,0.9848585,1.0,1.0,0.095,0.085,0.16,1.415,1.34,909.6427763899999,1438.973417745,639.443,832.5771,0.9507817,1.0,749.51666,812.6383000000002,1265.1065799999992,1914.3793333333333,1542.1656666666665,1178.1157400000002,976.8877933333333,1216.5023333333331,0.115,1101.4476909090909,0.125,940.5126619047618,0.145,0.978948205,1478.0733000000007,2294.169750000001,3700.3303199999996,4044.0073333333335,3772.3423333333335,3166.6513333333337,2501.209233333334,3540.7131666666664,0.11,3230.978545454546,0.115,2733.3841904761903,0.14,1.0
surrGrid_H0240_obsH0042_x0250,training_grid,0.24,0.042,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2875.672,0.355,4064.971,0.355,0.9997635,0.875,1.0,0.11,0.105,0.21,1.395,1.29,943.4254312074991,1639.1137922024982,585.6723,660.2298,0.9981355,1.0,730.8415200000001,896.0794400000002,1306.3745399999996,1863.4236666666668,1566.2995,1254.1724666666669,1024.6092033333334,1278.4353333333331,0.135,1162.678990909091,0.14,973.4934857142855,0.16,0.999543375,1846.8799999999999,2545.448050000001,3872.40636,3990.193333333334,3906.788666666667,3388.9411333333337,2776.961566666667,3830.3145000000004,0.125,3488.659090909091,0.13,2910.332714285714,0.155,1.0
surrGrid_H0240_obsH0042_x0275,training_grid,0.24,0.042,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2303.751,0.37,4133.975,0.125,0.9998875,0.82,1.0,0.125,0.12,0.29,1.38,1.21,939.4555451795002,1617.7835033600006,622.0368,785.597,0.9612665,0.9999999,896.30375,1054.5522,1319.97616,1668.6296666666667,1479.5186666666666,1243.9119999999998,1104.7364799999998,1288.8386666666668,0.15,1180.0589363636363,0.155,986.4601952380957,0.175,0.9993290250000001,2005.1101,2444.601850000002,3996.5793599999993,4096.306,3964.6090000000004,3425.0838,2837.0666333333334,3964.6090000000004,0.14,3648.276363636364,0.145,3009.2256190476187,0.17,1.0
surrGrid_H0240_obsH0042_x0292,training_grid,0.24,0.042,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1369.922,0.15,4301.48,0.135,0.9999225,0.83,1.0,0.135,0.13,0.35,1.37,1.15,897.9025643822501,1576.0862316400007,609.7441,763.6225,0.8287104,1.0,879.9995500000001,1099.4758500000003,1307.0391499999996,1353.682,1320.058,1236.8212666666666,1115.2600933333333,1294.0033333333333,0.16,1183.227509090909,0.165,1016.9492714285717,0.715,0.99990867,1961.2742000000014,2596.3277,4028.2554499999987,4223.243333333333,4036.499333333333,3443.8851333333328,2874.5036333333337,4036.499333333333,0.15,3709.5005454545458,0.155,3046.2409523809524,0.18,1.0
surrGrid_H0240_obsH0042_x0320,training_grid,0.24,0.042,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3509.366,0.39,4533.763,0.39,0.9998045,0.805,1.0,0.15,0.145,0.48,1.355,1.02,863.8904985539996,1523.0139569475011,682.7731,843.6875,0.8301609,1.0,931.3869300000003,1098.97485,1287.6328399999993,2090.027666666667,1680.4533333333336,1375.7896666666668,1182.4778966666665,1299.05,0.17,1186.0192272727272,0.18,992.9906523809524,0.2,0.99917277,2019.3017000000004,2665.25055,4256.016409999998,4491.769333333334,4323.187833333333,3636.075666666668,3001.9637333333335,4193.359666666667,0.16,3799.473090909092,0.17,3088.107476190477,0.195,1.0
surrGrid_H0240_obsH0042_x0350,training_grid,0.24,0.042,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2449.582,0.395,4980.706,0.165,0.9999717,0.825,1.0,0.165,0.16,0.505,1.34,0.995,834.2750020187495,1497.9249690660015,680.4921,828.5459,0.9214064,1.0,864.1208800000002,1048.0131000000001,1301.3727299999994,1757.549,1504.7055,1271.6109333333332,1114.6583,1292.3515,0.185,1179.9530545454543,0.195,992.4870809523811,0.215,0.99974857,1982.5252000000007,2481.548950000001,4134.061679999998,4648.247333333334,4312.835333333333,3569.663266666667,2920.4609,4312.835333333333,0.175,3858.3952727272726,0.185,3124.058571428571,0.21,1.0
